individual plan,individual plan text,income expenditure,income expenditure text,chapter,chapter text,title,function,title text,flex,page,soll
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,101,Bundespräsident,23201,187,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen, ,6,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,101,Bundespräsident,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,6,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen", ,10,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,10,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,11957,18,Vermischte Einnahmen, ,10,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,23257,18,Beteiligung an den Versorgungslasten des Bundes, ,10,190
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,112,Bundespräsidialamt,11999,11,Vermischte Einnahmen, ,14,2
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,112,Bundespräsidialamt,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung", ,14,0
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,112,Bundespräsidialamt,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen, ,14,1
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,112,Bundespräsidialamt,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7, ,14,0
