individual plan,individual plan text,income expenditure,income expenditure text,chapter,chapter text,title,function,title text,flex,page,target
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,101,Bundespräsident,23201,187,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,,6.0,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,101,Bundespräsident,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,6.0,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,9.0,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,111,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,9.0,0
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,112,Bundespräsidialamt,11999,11,Vermischte Einnahmen,,13.0,2
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,112,Bundespräsidialamt,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung",,13.0,0
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,112,Bundespräsidialamt,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen,,13.0,1
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,112,Bundespräsidialamt,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,13.0,0
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,113,Büro der Gemeinsamen Wissenschaftskonferenz,11999,11,Vermischte Einnahmen,,17.0,0
1,Bundespräsident und Bundespräsidialamt,E,Verwaltungseinnahmen,113,Büro der Gemeinsamen Wissenschaftskonferenz,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen,,17.0,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,113,Büro der Gemeinsamen Wissenschaftskonferenz,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,17.0,0
1,Bundespräsident und Bundespräsidialamt,E,Übrige Einnahmen,113,Büro der Gemeinsamen Wissenschaftskonferenz,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,17.0,0
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,6.0,0
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,,6.0,0
2,Deutscher Bundestag,E,Übrige Einnahmen,211,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,6.0,0
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,11101,11,"Gebühren, sonstige Entgelte",,12.0,447
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,11901,11,Einnahmen aus Veröffentlichungen,,12.0,170
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,11999,11,Vermischte Einnahmen,,12.0,159
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung",,12.0,1353
2,Deutscher Bundestag,E,Verwaltungseinnahmen,212,Deutscher Bundestag,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen,,13.0,70
2,Deutscher Bundestag,E,Übrige Einnahmen,212,Deutscher Bundestag,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,13.0,0
2,Deutscher Bundestag,E,Verwaltungseinnahmen,213,Die Wehrbeauftragte des Deutschen Bundestages,11999,11,Vermischte Einnahmen,,30.0,1
2,Deutscher Bundestag,E,Verwaltungseinnahmen,213,Die Wehrbeauftragte des Deutschen Bundestages,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen,,30.0,0
2,Deutscher Bundestag,E,Verwaltungseinnahmen,216,Parlamentarische Kontrolle der Nachrichtendienste,11999,11,Vermischte Einnahmen,,38.0,1
2,Deutscher Bundestag,E,Verwaltungseinnahmen,216,Parlamentarische Kontrolle der Nachrichtendienste,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen,,38.0,1
2,Deutscher Bundestag,E,Verwaltungseinnahmen,217,Die Bundesbeauftragte für die Opfer der SED-Diktatur beim Deutschen Bundestag,11999,11,Vermischte Einnahmen,,41.0,1
2,Deutscher Bundestag,E,Verwaltungseinnahmen,217,Die Bundesbeauftragte für die Opfer der SED-Diktatur beim Deutschen Bundestag,13201,11,Erlöse aus der Veräußerung von beweglichen Sachen,,41.0,1
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,6.0,0
3,Bundesrat,E,Übrige Einnahmen,311,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,6.0,0
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,11101,11,"Gebühren, sonstige Entgelte",,10.0,0
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,11901,11,Einnahmen aus Veröffentlichungen,,10.0,0
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,11999,11,Vermischte Einnahmen,,10.0,1
3,Bundesrat,E,Verwaltungseinnahmen,312,Bundesrat,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung",,10.0,30
3,Bundesrat,E,Übrige Einnahmen,312,Bundesrat,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,10.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,410,Sonstige Bewilligungen,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,6.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,28209,11,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",,10.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,38101,890,Leistungen von Bundesbehörden zur Durchführung von Aufträgen,,10.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,,10.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Übrige Einnahmen,411,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben des Geschäftsbereichs des BKAmts,38107,890,Leistungen von Bundesbehörden zur Durchführung von ressortübergreifenden Aufgaben,,10.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,412,Bundeskanzler und Bundeskanzleramt,11101,11,"Gebühren, sonstige Entgelte",,15.0,0
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,412,Bundeskanzler und Bundeskanzleramt,11999,11,Vermischte Einnahmen,,15.0,50
4,Bundeskanzler und Bundeskanzleramt,E,Verwaltungseinnahmen,412,Bundeskanzler und Bundeskanzleramt,12401,11,"Einnahmen aus Vermietung, Verpachtung und Nutzung",,15.0,0
